"Q3_4","Q3_5","Q5","Q16","Q26","Q30","ppage","educ","race","gender","income_cat","voter_category","pols_dont_care","media_greed","election_results_matter","party","vote_freq","income_cat_coded","voter_cat_coded","educ_coded"
4,3,1,1,1,2,73,"College","White","Female","$75-125k","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
3,3,1,2,1,3,90,"College","White","Female","$125k or more","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
3,2,1,1,1,2,53,"College","White","Male","$125k or more","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
4,2,1,4,1,2,58,"Some college","Black","Female","$40-75k","sporadic","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
1,2,1,1,1,1,81,"High school or less","White","Male","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,1
2,2,2,-1,4,5,61,"High school or less","White","Female","$40-75k","rarely/never","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","No Preference","Never",2,1,1
2,2,1,3,1,1,80,"High school or less","White","Female","$125k or more","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,1
1,1,1,1,1,2,68,"Some college","Other/Mixed","Female","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,2
1,2,1,1,1,1,70,"College","White","Male","$125k or more","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,3
2,3,1,3,1,3,83,"Some college","White","Male","$125k or more","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,2
2,2,1,1,1,1,43,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,3
4,3,1,2,1,2,42,"College","White","Female","$125k or more","sporadic","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
1,1,1,1,4,1,48,"College","White","Male","$40-75k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Never",2,1,3
1,1,2,1,1,5,52,"Some college","White","Male","$125k or more","sporadic","Strongly Agree","Strongly Agree","Things will be pretty much the same","No Preference","Always/Almost Always",4,2,2
1,2,1,1,1,1,80,"High school or less","White","Female","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,1
1,2,1,1,1,1,76,"High school or less","White","Female","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
4,3,1,1,1,2,73,"Some college","White","Female","Less than $40k","always","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,2
1,3,1,1,1,1,52,"College","White","Female","$125k or more","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,3
2,2,1,1,1,5,63,"Some college","White","Male","$75-125k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","No Preference","Always/Almost Always",3,3,2
2,2,2,1,1,5,81,"Some college","White","Male","Less than $40k","always","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","No Preference","Always/Almost Always",1,3,2
1,1,2,4,4,5,46,"Some college","Other/Mixed","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","No Preference","Never",1,1,2
1,3,1,1,1,1,62,"Some college","White","Male","$40-75k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,2
2,2,1,1,1,3,62,"College","Black","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,3
1,1,1,1,1,3,84,"High school or less","White","Male","Less than $40k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",1,2,1
1,1,1,1,1,1,53,"College","White","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,3
3,2,1,3,1,2,71,"High school or less","White","Female","Less than $40k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,1
1,2,1,3,4,2,50,"High school or less","Black","Female","Less than $40k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Democrat","Never",1,1,1
1,2,2,2,1,3,77,"Some college","White","Female","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","Independent","Always/Almost Always",3,2,2
2,4,1,1,1,1,67,"College","White","Male","$40-75k","always","Strongly Disagree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,3
1,2,1,1,1,1,80,"High school or less","White","Female","Less than $40k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,3,1
3,3,2,2,1,3,54,"College","White","Male","$125k or more","always","Somewhat Disagree","Somewhat Disagree","Things will be pretty much the same","Independent","Always/Almost Always",4,3,3
3,1,1,1,1,3,53,"Some college","White","Male","$40-75k","always","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,2
2,2,1,3,3,2,47,"Some college","Hispanic","Male","$40-75k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Rarely",2,1,2
1,1,1,1,1,3,68,"College","White","Male","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,3
3,2,1,1,1,3,73,"High school or less","White","Male","$40-75k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",2,2,1
3,3,1,1,1,2,62,"High school or less","Other/Mixed","Male","$75-125k","sporadic","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,1
2,3,1,1,1,2,58,"High school or less","Black","Female","Less than $40k","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,1
2,2,1,1,2,3,58,"High school or less","White","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Sometimes",3,2,1
2,2,1,2,1,3,87,"High school or less","White","Female","Less than $40k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",1,3,1
3,2,1,1,1,2,55,"Some college","Black","Male","$40-75k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
1,2,1,3,4,5,52,"High school or less","White","Male","$40-75k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","No Preference","Never",2,1,1
